,element,is_captain,playerid,web_name,element_type,now_cost,team,minutes_x,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,ExcludeDef,level_0,level_1,code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,stats,team_h_difficulty,team_a_difficulty,pulse_id,TeamID,OppTeam2,OppTeam,Teams.name,XGI_Weighted,XGC_Weighted,Minutes,InCurrentTeam,AttackOpp_pergame,DefenceOpp_pergame
0,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Home,280.0,2444751.0,29.0,False,False,281.0,2025-03-15T15:00:00Z,0.0,False,False,6.0,,1.0,,[],4.0,5.0,116107.0,1.0,6.0,6.0,Chel,0.7379200034481482,1.91828042794,329.0833333333333,1,0.0,0.5073200023706019
1,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Home,340.0,2444810.0,35.0,False,False,341.0,2025-05-03T14:00:00Z,0.0,False,False,3.0,,1.0,,[],3.0,5.0,116167.0,1.0,3.0,3.0,Bour,0.49583501675697245,2.0262410197875003,328.9166666666667,1,0.0,0.34088657402041855
2,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Away,353.0,2444823.0,36.0,False,False,354.0,2025-05-10T14:00:00Z,0.0,False,False,1.0,,12.0,,[],4.0,5.0,116180.0,1.0,12.0,12.0,LPool,1.139328097003643,0.663717210745,328.75,1,0.0,0.7832880666900046
3,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Away,377.0,2444847.0,38.0,False,False,378.0,2025-05-25T15:00:00Z,0.0,False,False,1.0,,17.0,,[],4.0,2.0,116204.0,1.0,17.0,17.0,Soton,0.3436274509803922,4.8875,335.9166666666667,1,0.0,0.23624387254901966
4,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Away,223.0,2444699.0,23.0,False,False,230.0,2025-01-25T15:00:00Z,0.0,False,False,1.0,,20.0,,[],4.0,2.0,116056.0,1.0,20.0,20.0,Wolv,0.44167172269090266,2.846193833,329.0,1,0.0,0.30364930934999557
5,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Home,237.0,2444701.0,24.0,False,False,231.0,2025-02-02T16:30:00Z,0.0,False,False,13.0,,1.0,,[],4.0,5.0,116057.0,1.0,13.0,13.0,ManC,0.9839835891611721,1.7379354888,329.0833333333333,1,0.0,0.6764887175483059
6,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Home,330.0,2444801.0,34.0,False,False,331.0,2025-04-26T14:00:00Z,0.0,False,False,7.0,,1.0,,[],3.0,5.0,116157.0,1.0,7.0,7.0,CryP,0.4068409019543212,2.2506908045,296.84615384615387,1,0.0,0.2797031200935958
7,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Home,290.0,2444761.0,30.0,False,False,291.0,2025-04-01T18:45:00Z,0.0,False,False,9.0,,1.0,,[],3.0,5.0,116117.0,1.0,9.0,9.0,Ful,0.5426444520730922,2.17464959598,303.84615384615387,1,0.0,0.3730680608002509
8,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Away,266.0,2444733.0,27.0,False,False,264.0,2025-02-26T19:30:00Z,0.0,False,False,1.0,,16.0,,[],4.0,3.0,116090.0,1.0,16.0,16.0,For't,0.40722223538483787,2.19236861945,328.5833333333333,1,0.0,0.27996528682707605
9,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Away,303.0,2444773.0,31.0,False,False,304.0,2025-04-05T14:00:00Z,0.0,False,False,1.0,,8.0,,[],4.0,3.0,116130.0,1.0,8.0,8.0,Ev,0.27616075849189936,2.52623203114,303.84615384615387,1,0.0,0.1898605214631808
10,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Away,325.0,2444795.0,33.0,False,False,326.0,2025-04-19T14:00:00Z,0.0,False,False,1.0,,10.0,,[],4.0,2.0,116152.0,1.0,10.0,10.0,Ips,0.22352941176470592,3.0387500000000003,303.6923076923077,1,0.0,0.15367647058823533
11,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Home,360.0,2444830.0,37.0,False,False,361.0,2025-05-18T14:00:00Z,0.0,False,False,15.0,,1.0,,[],3.0,5.0,116187.0,1.0,15.0,15.0,Newc,0.851607835794096,1.427916640605,329.0833333333333,1,0.0,0.5854803871084411
12,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Home,310.0,2444781.0,32.0,False,False,311.0,2025-04-12T14:00:00Z,0.0,False,False,4.0,,1.0,,[],2.0,5.0,116137.0,1.0,4.0,4.0,Bfrd,0.6174436401861707,2.3004186191400002,303.61538461538464,1,0.0,0.4244925026279924
13,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Away,275.0,2444745.0,28.0,False,False,276.0,2025-03-08T15:00:00Z,0.0,False,False,1.0,,14.0,,[],4.0,3.0,116102.0,1.0,14.0,14.0,ManU,0.5124117662561654,2.5358512149199997,300.0769230769231,1,0.0,0.3522830893011137
14,15.0,False,15.0,Raya,1.0,56.0,1.0,90.0,0.0,0.0,0.0,0.6875,N,Away,241.0,2444714.0,25.0,False,False,245.0,2025-02-15T12:30:00Z,0.0,False,False,1.0,,11.0,,[],4.0,2.0,116071.0,1.0,11.0,11.0,Leic,0.33484162895927605,2.788,303.61538461538464,1,0.0,0.23020361990950228
