,event,playerid,web_name,element_type,team,now_cost,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,XGI_Weighted,XGC_Weighted,AttackOpp_pergame,DefenceOpp_pergame
0,31.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.12447391851733418,1.4551910592266666,0.0,0.0
1,20.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.41673048707050014,2.01927785215,0.0,0.0
2,25.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.2729411764705883,4.03325,0.0,0.0
3,34.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.40172110633422187,2.4442081447,0.0,0.0
4,30.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.2351459292316733,2.22091873632,0.0,0.0
5,21.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.5876728380571572,3.66510047856,0.0,0.0
6,26.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.5973581766177805,2.2907110902,0.0,0.0
7,22.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.5400973366349124,1.5660417903,0.0,0.0
8,33.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.29215686274509806,3.621,0.0,0.0
9,18.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.29215686274509806,3.621,0.0,0.0
10,28.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.4674879949679536,1.84490299063,0.0,0.0
11,19.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.3478888552463483,2.82634329472,0.0,0.0
12,32.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.3478888552463483,2.82634329472,0.0,0.0
13,35.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.5897893416787048,2.693158923575,0.0,0.0
14,24.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.6379983648101909,1.8118273038000001,0.0,0.0
15,38.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.24705882352941178,4.76,0.0,0.0
16,36.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.8266669419453656,1.9589323501599998,0.0,0.0
17,23.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.32367788494185806,1.64266044076,0.0,0.0
18,29.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.9223346090599682,2.4234503627,0.0,0.0
19,27.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.38042269822468006,2.11041091405,0.0,0.0
20,37.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.0,0.0,0.0,0.0,0.7766434757614936,1.54409883446,0.0,0.0
21,31.0,2.0,G.Jesus,4.0,1.0,68.0,0.10823529411764705,0.008823529411764706,0.11705882352941177,0.23470588235294118,0.12447391851733418,1.4551910592266666,0.17034295340359215,0.029214760875539023
22,20.0,2.0,G.Jesus,4.0,1.0,68.0,0.10823529411764705,0.008823529411764706,0.11705882352941177,0.23470588235294118,0.41673048707050014,2.01927785215,0.2363742897516765,0.09780909667125268
