,playerid,web_name,element_type_x,now_cost,team,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw,XGI_Weighted,XGC_Weighted,AttackOpp_pergame,DefenceOpp_pergame,element,position,multiplier,is_captain,is_vice_captain,element_type_y,IsInCurrentTeam
0,1.0,Fábio Vieira,3.0,54.0,1.0,0.0,0.0,0.0,0.0,0.32039005794984565,2.461602080855909,0.0,0.0,,,,,,,N
1,2.0,G.Jesus,4.0,68.0,1.0,0.062142857142857146,0.008571428571428572,0.07071428571428572,0.1742857142857143,0.32039005794984565,2.461602080855909,0.174070432860525,0.05583941009983025,,,,,,,N
2,3.0,Gabriel,2.0,61.0,1.0,0.12571428571428572,0.03571428571428571,0.16142857142857145,0.8928571428571428,0.32039005794984565,2.461602080855909,0.3973729073381682,0.28606255174093365,,,,,,,N
3,4.0,Havertz,4.0,79.0,1.0,0.3864285714285715,0.08214285714285714,0.4685714285714285,0.9778571428571431,0.32039005794984565,2.461602080855909,1.1534364036010543,0.31329570666667056,,,,,,,N
4,6.0,J.Timber,2.0,57.0,1.0,0.04785714285714286,0.030714285714285715,0.07857142857142858,0.7064285714285715,0.32039005794984565,2.461602080855909,0.19341159206725003,0.22633269093742675,,,,,,,N
5,7.0,Jorginho,3.0,47.0,1.0,0.002857142857142857,0.017857142857142856,0.020714285714285713,0.1971428571428571,0.32039005794984565,2.461602080855909,0.05099032881772954,0.06316261142439815,,,,,,,N
6,9.0,Martinelli,3.0,67.0,1.0,0.15571428571428572,0.13214285714285715,0.28785714285714287,0.6185714285714285,0.32039005794984565,2.461602080855909,0.7085897418463796,0.19818413584611883,,,,,,,N
7,10.0,Nelson,3.0,50.0,9.0,0.07642857142857143,0.06857142857142857,0.145,0.43785714285714283,0.3638174498896985,2.5051220340610603,0.36324269493885375,0.1593000691302751,,,,,,,N
8,11.0,Nketiah,4.0,59.0,7.0,0.07285714285714286,0.027857142857142858,0.10071428571428571,0.5642857142857143,0.3566059263890437,2.4502816584059093,0.24677836702516656,0.20122762989096038,,,,,,,N
9,12.0,Nwaneri,3.0,45.0,1.0,0.010714285714285716,0.01357142857142857,0.024285714285714285,0.05071428571428571,0.32039005794984565,2.461602080855909,0.05978176482078635,0.01624835293888503,,,,,,,N
10,13.0,Ødegaard,3.0,83.0,1.0,0.12642857142857142,0.12642857142857142,0.25285714285714284,0.39285714285714285,0.32039005794984565,2.461602080855909,0.6224336690164226,0.1258675227660108,,,,,,,N
11,15.0,Raya,1.0,56.0,1.0,0.0,0.0007142857142857143,0.0007142857142857143,1.0014285714285716,0.32039005794984565,2.461602080855909,0.0017582872006113635,0.3208477580326312,15.0,1.0,1.0,False,False,1.0,Y
12,16.0,Rice,3.0,62.0,1.0,0.058571428571428566,0.12571428571428572,0.18428571428571427,0.785,0.32039005794984565,2.461602080855909,0.45363809775773184,0.25150619549062886,,,,,,,N
13,17.0,Saka,3.0,106.0,1.0,0.26785714285714285,0.35214285714285715,0.62,0.6807142857142858,0.32039005794984565,2.461602080855909,1.5261932901306636,0.21809408944728784,17.0,6.0,1.0,False,False,3.0,Y
14,18.0,Saliba,2.0,62.0,1.0,0.04928571428571427,0.04357142857142857,0.09285714285714285,0.812857142857143,0.32039005794984565,2.461602080855909,0.22857733607947725,0.260431347104946,,,,,,,N
15,19.0,Smith Rowe,3.0,55.0,9.0,0.15142857142857144,0.09071428571428572,0.24214285714285716,0.7978571428571428,0.3638174498896985,2.5051220340610603,0.6065974068190711,0.2902743510905666,,,,,,,N
16,20.0,Thomas,3.0,50.0,1.0,0.06714285714285714,0.06142857142857143,0.1285714285714286,0.8764285714285713,0.32039005794984565,2.461602080855909,0.31649169611004546,0.28079900078890047,,,,,,,N
17,23.0,Trossard,3.0,68.0,1.0,0.17714285714285713,0.053571428571428575,0.2307142857142857,0.4828571428571429,0.32039005794984565,2.461602080855909,0.5679267657974705,0.1547026279814969,,,,,,,N
18,27.0,Archer,4.0,50.0,17.0,0.29642857142857143,0.010714285714285714,0.3071428571428571,1.5121428571428572,0.3439046086140674,2.251199254158333,0.6914397709200594,0.520032897454272,,,,,,,N
19,28.0,Bailey,3.0,62.0,2.0,0.04142857142857143,0.15214285714285714,0.19357142857142853,0.6207142857142857,0.3414026278788758,2.401128280467727,0.46478983143339575,0.2119134883048165,,,,,,,N
20,29.0,Barkley,3.0,52.0,2.0,0.07642857142857143,0.020714285714285716,0.09714285714285716,0.2885714285714286,0.3414026278788758,2.401128280467727,0.23325246153115067,0.09851904404504705,,,,,,,N
21,30.0,Barrenechea,3.0,49.0,2.0,0.0,0.0,0.0,0.0,0.3414026278788758,2.401128280467727,0.0,0.0,,,,,,,N
22,31.0,Buendia,3.0,52.0,2.0,0.0064285714285714285,0.0014285714285714286,0.007857142857142856,0.07928571428571429,0.3414026278788758,2.401128280467727,0.01886600791796071,0.027068351210396583,,,,,,,N
23,33.0,Dendoncker,3.0,45.0,2.0,0.0,0.0,0.0,0.0,0.3414026278788758,2.401128280467727,0.0,0.0,,,,,,,N
24,34.0,Diaby,3.0,65.0,2.0,0.0,0.0,0.0,0.0,0.3414026278788758,2.401128280467727,0.0,0.0,,,,,,,N
25,36.0,Digne,2.0,47.0,2.0,0.038571428571428576,0.14928571428571427,0.18785714285714283,0.977142857142857,0.3414026278788758,2.401128280467727,0.45106909840215165,0.33359913924164436,,,,,,,N
26,37.0,Dobbin,3.0,50.0,2.0,0.0,0.0,0.0,0.0,0.3414026278788758,2.401128280467727,0.0,0.0,,,,,,,N
27,38.0,Duran,4.0,58.0,2.0,0.2392857142857143,0.014285714285714289,0.25357142857142856,0.4964285714285714,0.3414026278788758,2.401128280467727,0.6088575282614594,0.1694820188398705,,,,,,,N
28,41.0,Iling Jr,3.0,54.0,2.0,0.0,0.0,0.0,0.0,0.3414026278788758,2.401128280467727,0.0,0.0,,,,,,,N
29,42.0,Kamara,3.0,50.0,2.0,0.0,0.002857142857142857,0.002857142857142857,0.18714285714285717,0.3414026278788758,2.401128280467727,0.006860366515622079,0.06389106321733248,,,,,,,N
