,minutes_x,playerid,web_name,element_type,team,now_cost,expected_goals.gw,expected_assists.gw,expected_goal_involvements.gw,expected_goals_conceded.gw
13,0.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.00,0.00,0.00,0.00
14,0.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.00,0.00,0.00,0.00
15,0.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.00,0.00,0.00,0.00
16,0.0,1.0,Fábio Vieira,3.0,1.0,54.0,0.00,0.00,0.00,0.00
30,0.0,2.0,G.Jesus,4.0,1.0,68.0,0.00,0.00,0.00,0.00
31,16.0,2.0,G.Jesus,4.0,1.0,68.0,0.00,0.00,0.00,0.00
32,21.0,2.0,G.Jesus,4.0,1.0,68.0,0.15,0.02,0.17,0.00
33,85.0,2.0,G.Jesus,4.0,1.0,68.0,0.82,0.01,0.83,1.55
47,0.0,3.0,Gabriel,2.0,1.0,63.0,0.00,0.00,0.00,0.00
48,0.0,3.0,Gabriel,2.0,1.0,63.0,0.00,0.00,0.00,0.00
49,90.0,3.0,Gabriel,2.0,1.0,63.0,0.00,0.04,0.04,0.09
50,90.0,3.0,Gabriel,2.0,1.0,63.0,0.39,0.01,0.40,1.59
64,90.0,4.0,Havertz,4.0,1.0,79.0,0.25,0.02,0.27,0.22
65,73.0,4.0,Havertz,4.0,1.0,79.0,0.34,0.01,0.35,0.16
66,90.0,4.0,Havertz,4.0,1.0,79.0,0.06,0.09,0.15,0.09
67,57.0,4.0,Havertz,4.0,1.0,79.0,0.88,0.01,0.89,1.53
81,0.0,5.0,Hein,1.0,1.0,40.0,0.00,0.00,0.00,0.00
82,0.0,5.0,Hein,1.0,1.0,40.0,0.00,0.00,0.00,0.00
83,0.0,5.0,Hein,1.0,1.0,40.0,0.00,0.00,0.00,0.00
84,0.0,5.0,Hein,1.0,1.0,40.0,0.00,0.00,0.00,0.00
98,90.0,6.0,J.Timber,2.0,1.0,57.0,0.16,0.06,0.22,0.22
99,90.0,6.0,J.Timber,2.0,1.0,57.0,0.00,0.03,0.03,0.16
100,90.0,6.0,J.Timber,2.0,1.0,57.0,0.00,0.31,0.31,0.09
101,85.0,6.0,J.Timber,2.0,1.0,57.0,0.00,0.02,0.02,1.55
115,1.0,7.0,Jorginho,3.0,1.0,47.0,0.00,0.00,0.00,0.00
116,73.0,7.0,Jorginho,3.0,1.0,47.0,0.00,0.04,0.04,0.16
117,28.0,7.0,Jorginho,3.0,1.0,47.0,0.00,0.02,0.02,0.00
118,0.0,7.0,Jorginho,3.0,1.0,47.0,0.00,0.00,0.00,0.00
132,90.0,8.0,Kiwior,2.0,1.0,48.0,0.00,0.00,0.00,0.22
133,90.0,8.0,Kiwior,2.0,1.0,48.0,0.00,0.03,0.03,0.16
134,0.0,8.0,Kiwior,2.0,1.0,48.0,0.00,0.00,0.00,0.00
135,0.0,8.0,Kiwior,2.0,1.0,48.0,0.00,0.00,0.00,0.00
149,70.0,9.0,Martinelli,3.0,1.0,68.0,0.17,0.00,0.17,0.14
150,30.0,9.0,Martinelli,3.0,1.0,68.0,0.00,0.01,0.01,0.12
151,73.0,9.0,Martinelli,3.0,1.0,68.0,0.12,0.10,0.22,0.09
152,90.0,9.0,Martinelli,3.0,1.0,68.0,0.66,0.53,1.19,1.59
166,70.0,10.0,Nelson,3.0,9.0,50.0,0.00,0.03,0.03,1.27
167,0.0,10.0,Nelson,3.0,9.0,50.0,0.00,0.00,0.00,0.00
168,0.0,10.0,Nelson,3.0,9.0,50.0,0.00,0.00,0.00,0.00
169,0.0,10.0,Nelson,3.0,9.0,50.0,0.00,0.00,0.00,0.00
183,1.0,11.0,Nketiah,4.0,7.0,59.0,0.00,0.00,0.00,0.00
184,13.0,11.0,Nketiah,4.0,7.0,59.0,0.00,0.00,0.00,0.00
185,30.0,11.0,Nketiah,4.0,7.0,59.0,0.47,0.07,0.54,0.23
186,29.0,11.0,Nketiah,4.0,7.0,59.0,0.00,0.00,0.00,0.15
200,0.0,12.0,Nwaneri,3.0,1.0,45.0,0.00,0.00,0.00,0.00
201,11.0,12.0,Nwaneri,3.0,1.0,45.0,0.00,0.00,0.00,0.00
202,28.0,12.0,Nwaneri,3.0,1.0,45.0,0.00,0.01,0.01,0.00
203,4.0,12.0,Nwaneri,3.0,1.0,45.0,0.00,0.08,0.08,0.04
217,89.0,13.0,Ødegaard,3.0,1.0,84.0,0.12,0.32,0.44,0.22
218,78.0,13.0,Ødegaard,3.0,1.0,84.0,0.00,0.18,0.18,0.16
219,61.0,13.0,Ødegaard,3.0,1.0,84.0,0.42,0.06,0.48,0.09
220,90.0,13.0,Ødegaard,3.0,1.0,84.0,0.09,0.23,0.32,1.59
234,0.0,14.0,Ramsdale,1.0,17.0,44.0,0.00,0.00,0.00,0.00
235,0.0,14.0,Ramsdale,1.0,17.0,44.0,0.00,0.00,0.00,0.00
236,0.0,14.0,Ramsdale,1.0,17.0,44.0,0.00,0.00,0.00,0.00
237,90.0,14.0,Ramsdale,1.0,17.0,44.0,0.00,0.00,0.00,1.04
251,90.0,15.0,Raya,1.0,1.0,56.0,0.00,0.00,0.00,0.22
252,90.0,15.0,Raya,1.0,1.0,56.0,0.00,0.00,0.00,0.16
253,90.0,15.0,Raya,1.0,1.0,56.0,0.00,0.00,0.00,0.09
254,90.0,15.0,Raya,1.0,1.0,56.0,0.00,0.00,0.00,1.59
268,90.0,16.0,Rice,3.0,1.0,62.0,0.08,0.41,0.49,0.22
269,90.0,16.0,Rice,3.0,1.0,62.0,0.12,0.60,0.72,0.16
270,61.0,16.0,Rice,3.0,1.0,62.0,0.03,0.06,0.09,0.09
271,32.0,16.0,Rice,3.0,1.0,62.0,0.16,0.05,0.21,0.06
285,90.0,17.0,Saka,3.0,1.0,104.0,0.13,0.16,0.29,0.22
286,90.0,17.0,Saka,3.0,1.0,104.0,0.09,0.11,0.20,0.16
287,90.0,17.0,Saka,3.0,1.0,104.0,0.33,0.56,0.89,0.09
288,23.0,17.0,Saka,3.0,1.0,104.0,0.00,0.00,0.00,0.74
302,90.0,18.0,Saliba,2.0,1.0,63.0,0.69,0.01,0.70,0.22
303,90.0,18.0,Saliba,2.0,1.0,63.0,1.19,0.01,1.20,0.16
304,90.0,18.0,Saliba,2.0,1.0,63.0,0.00,0.04,0.04,0.09
305,90.0,18.0,Saliba,2.0,1.0,63.0,0.00,0.01,0.01,1.59
319,90.0,20.0,Thomas,3.0,1.0,50.0,0.37,0.35,0.72,0.22
320,90.0,20.0,Thomas,3.0,1.0,50.0,0.25,0.07,0.32,0.16
321,21.0,20.0,Thomas,3.0,1.0,50.0,0.00,0.02,0.02,0.00
322,90.0,20.0,Thomas,3.0,1.0,50.0,0.00,0.11,0.11,1.59
336,0.0,21.0,Tierney,2.0,1.0,43.0,0.00,0.00,0.00,0.00
337,0.0,21.0,Tierney,2.0,1.0,43.0,0.00,0.00,0.00,0.00
338,0.0,21.0,Tierney,2.0,1.0,43.0,0.00,0.00,0.00,0.00
339,0.0,21.0,Tierney,2.0,1.0,43.0,0.00,0.00,0.00,0.00
353,0.0,22.0,Tomiyasu,2.0,1.0,48.0,0.00,0.00,0.00,0.00
354,0.0,22.0,Tomiyasu,2.0,1.0,48.0,0.00,0.00,0.00,0.00
355,0.0,22.0,Tomiyasu,2.0,1.0,48.0,0.00,0.00,0.00,0.00
356,0.0,22.0,Tomiyasu,2.0,1.0,48.0,0.00,0.00,0.00,0.00
370,19.0,23.0,Trossard,3.0,1.0,68.0,0.05,0.01,0.06,0.08
371,59.0,23.0,Trossard,3.0,1.0,68.0,0.02,0.15,0.17,0.04
372,16.0,23.0,Trossard,3.0,1.0,68.0,0.00,0.17,0.17,0.00
373,66.0,23.0,Trossard,3.0,1.0,68.0,0.02,0.12,0.14,0.84
387,0.0,24.0,White,2.0,1.0,61.0,0.00,0.00,0.00,0.00
388,0.0,24.0,White,2.0,1.0,61.0,0.00,0.00,0.00,0.00
389,0.0,24.0,White,2.0,1.0,61.0,0.00,0.00,0.00,0.00
390,0.0,24.0,White,2.0,1.0,61.0,0.00,0.00,0.00,0.00
404,70.0,25.0,Zinchenko,2.0,1.0,48.0,0.06,0.01,0.07,0.14
405,0.0,25.0,Zinchenko,2.0,1.0,48.0,0.00,0.00,0.00,0.00
406,0.0,25.0,Zinchenko,2.0,1.0,48.0,0.00,0.00,0.00,0.00
407,0.0,25.0,Zinchenko,2.0,1.0,48.0,0.00,0.00,0.00,0.00
421,90.0,533.0,Aït-Nouri,2.0,20.0,48.0,0.00,0.06,0.06,1.02
422,85.0,533.0,Aït-Nouri,2.0,20.0,48.0,0.04,0.09,0.13,0.91
423,90.0,533.0,Aït-Nouri,2.0,20.0,48.0,0.05,0.21,0.26,1.20
424,0.0,533.0,Aït-Nouri,2.0,20.0,48.0,0.00,0.00,0.00,0.00
438,0.0,534.0,B.Traore,3.0,20.0,48.0,0.00,0.00,0.00,0.00
439,0.0,534.0,B.Traore,3.0,20.0,48.0,0.00,0.00,0.00,0.00
440,0.0,534.0,B.Traore,3.0,20.0,48.0,0.00,0.00,0.00,0.00
441,0.0,534.0,B.Traore,3.0,20.0,48.0,0.00,0.00,0.00,0.00
455,0.0,535.0,Bellegarde,3.0,20.0,49.0,0.00,0.00,0.00,0.00
456,28.0,535.0,Bellegarde,3.0,20.0,49.0,0.14,0.00,0.14,0.14
457,71.0,535.0,Bellegarde,3.0,20.0,49.0,0.13,0.18,0.31,0.98
458,1.0,535.0,Bellegarde,3.0,20.0,49.0,0.00,0.00,0.00,0.34
472,0.0,536.0,Bentley,1.0,20.0,40.0,0.00,0.00,0.00,0.00
473,0.0,536.0,Bentley,1.0,20.0,40.0,0.00,0.00,0.00,0.00
474,0.0,536.0,Bentley,1.0,20.0,40.0,0.00,0.00,0.00,0.00
475,0.0,536.0,Bentley,1.0,20.0,40.0,0.00,0.00,0.00,0.00
489,0.0,537.0,Chiquinho,3.0,20.0,45.0,0.00,0.00,0.00,0.00
490,0.0,537.0,Chiquinho,3.0,20.0,45.0,0.00,0.00,0.00,0.00
491,0.0,537.0,Chiquinho,3.0,20.0,45.0,0.00,0.00,0.00,0.00
492,0.0,537.0,Chiquinho,3.0,20.0,45.0,0.00,0.00,0.00,0.00
506,0.0,538.0,Chirewa,3.0,20.0,45.0,0.00,0.00,0.00,0.00
507,0.0,538.0,Chirewa,3.0,20.0,45.0,0.00,0.00,0.00,0.00
508,0.0,538.0,Chirewa,3.0,20.0,45.0,0.00,0.00,0.00,0.00
509,0.0,538.0,Chirewa,3.0,20.0,45.0,0.00,0.00,0.00,0.00
523,0.0,539.0,Chiwome,4.0,20.0,45.0,0.00,0.00,0.00,0.00
524,0.0,539.0,Chiwome,4.0,20.0,45.0,0.00,0.00,0.00,0.00
525,0.0,539.0,Chiwome,4.0,20.0,45.0,0.00,0.00,0.00,0.00
526,0.0,539.0,Chiwome,4.0,20.0,45.0,0.00,0.00,0.00,0.00
540,0.0,540.0,Cundle,3.0,20.0,45.0,0.00,0.00,0.00,0.00
541,0.0,540.0,Cundle,3.0,20.0,45.0,0.00,0.00,0.00,0.00
542,0.0,540.0,Cundle,3.0,20.0,45.0,0.00,0.00,0.00,0.00
543,0.0,540.0,Cundle,3.0,20.0,45.0,0.00,0.00,0.00,0.00
557,90.0,541.0,Cunha,4.0,20.0,71.0,0.09,0.01,0.10,1.02
558,90.0,541.0,Cunha,4.0,20.0,71.0,0.04,0.25,0.29,1.01
559,90.0,541.0,Cunha,4.0,20.0,71.0,0.41,0.12,0.53,1.20
560,90.0,541.0,Cunha,4.0,20.0,71.0,0.14,0.31,0.45,0.81
574,90.0,542.0,Dawson,2.0,20.0,44.0,0.00,0.00,0.00,1.02
575,0.0,542.0,Dawson,2.0,20.0,44.0,0.00,0.00,0.00,0.00
576,0.0,542.0,Dawson,2.0,20.0,44.0,0.00,0.00,0.00,0.00
577,7.0,542.0,Dawson,2.0,20.0,44.0,0.00,0.00,0.00,0.34
591,76.0,543.0,Doherty,2.0,20.0,43.0,0.00,0.29,0.29,0.59
592,90.0,543.0,Doherty,2.0,20.0,43.0,0.51,0.08,0.59,1.01
593,63.0,543.0,Doherty,2.0,20.0,43.0,0.00,0.06,0.06,0.94
